PassengerId,Survived,Pclass,Sex,Fare,TicketGroupSize,FarePerPerson,FarePerPerson_log,FareClassBand,FareMedianByClass,FareSurplus,CabinExists,FareCabinInteraction
1,0,3,male,7.25,1,7.25,2.1102132003465894,0,7.8542,-0.6041999999999996,0,0.0
2,1,1,female,71.2833,1,71.2833,4.2805931204649,3,35.25,36.0333,1,4.2805931204649
3,1,3,female,7.925,1,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
4,1,1,female,53.1,2,26.55,3.3160025355989236,0,35.25,-8.7,1,3.3160025355989236
5,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
6,0,3,male,8.4583,1,8.4583,2.246892662898172,3,7.8542,0.6040999999999999,0,0.0
7,0,1,male,51.8625,1,51.8625,3.967694202798607,3,35.25,16.612499999999997,1,3.967694202798607
8,0,3,male,21.075,4,5.26875,1.8355769727281086,0,7.8542,-2.58545,0,0.0
9,1,3,female,11.1333,3,3.7111,1.5499214264083454,0,7.8542,-4.1431,0,0.0
10,1,2,female,30.0708,2,15.0354,2.774798778265854,3,13.0,2.035399999999999,0,0.0
11,1,3,female,16.7,2,8.35,2.2353763433005955,3,7.8542,0.4958,1,2.2353763433005955
12,1,1,female,26.55,1,26.55,3.3160025355989236,0,35.25,-8.7,1,3.3160025355989236
13,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
14,0,3,male,31.275,7,4.4678571428571425,1.698886792488434,0,7.8542,-3.386342857142857,0,0.0
15,0,3,female,7.8542,1,7.8542,2.180891922715322,1,7.8542,0.0,0,0.0
16,1,2,female,16.0,1,16.0,2.833213344056216,3,13.0,3.0,0,0.0
17,0,3,male,29.125,5,5.825,1.9205923410710235,0,7.8542,-2.0291999999999994,0,0.0
18,1,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
19,0,3,female,18.0,1,18.0,2.9444389791664403,3,7.8542,10.145800000000001,0,0.0
20,1,3,female,7.225,1,7.225,2.1071782966514356,0,7.8542,-0.6292,0,0.0
21,0,2,male,26.0,2,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
22,1,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,1,2.6390573296152584
23,1,3,female,8.0292,1,8.0292,2.2004637699272855,2,7.8542,0.17499999999999982,0,0.0
24,1,1,male,35.5,1,35.5,3.597312260588446,2,35.25,0.25,1,3.597312260588446
25,0,3,female,21.075,4,5.26875,1.8355769727281086,0,7.8542,-2.58545,0,0.0
26,1,3,female,31.3875,4,7.846875,2.1800642893181275,1,7.8542,-0.007324999999999804,0,0.0
27,0,3,male,7.225,1,7.225,2.1071782966514356,0,7.8542,-0.6292,0,0.0
28,0,1,male,263.0,4,65.75,4.200954297280359,3,35.25,30.5,1,4.200954297280359
29,1,3,female,7.8792,1,7.8792,2.1837114628556327,2,7.8542,0.025000000000000355,0,0.0
30,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
31,0,1,male,27.7208,1,27.7208,3.357621598945279,1,35.25,-7.5291999999999994,0,0.0
32,1,1,female,146.5208,2,73.2604,4.307577835214363,3,35.25,38.010400000000004,1,4.307577835214363
33,1,3,female,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
34,0,2,male,10.5,1,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
35,0,1,male,82.1708,2,41.0854,3.7397008871924475,2,35.25,5.8354,0,0.0
36,0,1,male,52.0,2,26.0,3.295836866004329,0,35.25,-9.25,0,0.0
37,1,3,male,7.2292,1,7.2292,2.1076888046179385,0,7.8542,-0.625,0,0.0
38,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
39,0,3,female,18.0,2,9.0,2.302585092994046,3,7.8542,1.1458000000000004,0,0.0
40,1,3,female,11.2417,2,5.62085,1.8902237604980383,0,7.8542,-2.2333499999999997,0,0.0
41,0,3,female,9.475,1,9.475,2.348991465808201,3,7.8542,1.6208,0,0.0
42,0,2,female,21.0,2,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
43,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
44,1,2,female,41.5792,3,13.859733333333333,2.698655093861659,3,13.0,0.8597333333333328,0,0.0
45,1,3,female,7.8792,1,7.8792,2.1837114628556327,2,7.8542,0.025000000000000355,0,0.0
46,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
47,0,3,male,15.5,1,15.5,2.803360380906535,3,7.8542,7.6458,0,0.0
48,1,3,female,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
49,0,3,male,21.6792,1,21.6792,3.1214482048688246,3,7.8542,13.825000000000003,0,0.0
50,0,3,female,17.8,2,8.9,2.2925347571405443,3,7.8542,1.0458000000000007,0,0.0
51,0,3,male,39.6875,6,6.614583333333333,2.0300652682819424,0,7.8542,-1.2396166666666666,0,0.0
52,0,3,male,7.8,1,7.8,2.174751721484161,1,7.8542,-0.054199999999999804,0,0.0
53,1,1,female,76.7292,3,25.576400000000003,3.280023603931663,0,35.25,-9.673599999999997,1,3.280023603931663
54,1,2,female,26.0,1,26.0,3.295836866004329,3,13.0,13.0,0,0.0
55,0,1,male,61.9792,1,61.9792,4.142804513146981,3,35.25,26.7292,1,4.142804513146981
56,1,1,male,35.5,1,35.5,3.597312260588446,2,35.25,0.25,1,3.597312260588446
57,1,2,female,10.5,1,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
58,0,3,male,7.2292,1,7.2292,2.1076888046179385,0,7.8542,-0.625,0,0.0
59,1,2,female,27.75,3,9.25,2.327277705584417,0,13.0,-3.75,0,0.0
60,0,3,male,46.9,6,7.816666666666666,2.1766438696361985,1,7.8542,-0.037533333333333196,0,0.0
61,0,3,male,7.2292,1,7.2292,2.1076888046179385,0,7.8542,-0.625,0,0.0
62,1,1,female,80.0,2,40.0,3.713572066704308,2,35.25,4.75,1,3.713572066704308
63,0,1,male,83.475,2,41.7375,3.75507675496542,2,35.25,6.487499999999997,1,3.75507675496542
64,0,3,male,27.9,6,4.6499999999999995,1.7316555451583495,0,7.8542,-3.2042,0,0.0
65,0,1,male,27.7208,1,27.7208,3.357621598945279,1,35.25,-7.5291999999999994,0,0.0
66,1,3,male,15.2458,2,7.6229,2.15442145501091,1,7.8542,-0.23130000000000006,0,0.0
67,1,2,female,10.5,1,10.5,2.4423470353692043,0,13.0,-2.5,1,2.4423470353692043
68,0,3,male,8.1583,1,8.1583,2.2146605719425225,3,7.8542,0.3041000000000009,0,0.0
69,1,3,female,7.925,1,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
70,0,3,male,8.6625,1,8.6625,2.2682524139135403,3,7.8542,0.8083,0,0.0
71,0,2,male,10.5,1,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
72,0,3,female,46.9,6,7.816666666666666,2.1766438696361985,1,7.8542,-0.037533333333333196,0,0.0
73,0,2,male,73.5,5,14.7,2.7536607123542622,3,13.0,1.6999999999999993,0,0.0
74,0,3,male,14.4542,1,14.4542,2.737880811060884,3,7.8542,6.6000000000000005,0,0.0
75,1,3,male,56.4958,7,8.070828571428573,2.2050636129235883,3,7.8542,0.21662857142857295,0,0.0
76,0,3,male,7.65,1,7.65,2.157559320943788,1,7.8542,-0.20419999999999927,1,2.157559320943788
77,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
78,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
79,1,2,male,29.0,2,14.5,2.740840023925201,3,13.0,1.5,0,0.0
80,1,3,female,12.475,2,6.2375,1.9792758428991135,0,7.8542,-1.6166999999999998,0,0.0
81,0,3,male,9.0,1,9.0,2.302585092994046,3,7.8542,1.1458000000000004,0,0.0
82,1,3,male,9.5,1,9.5,2.3513752571634776,3,7.8542,1.6458000000000004,0,0.0
83,1,3,female,7.7875,1,7.7875,2.1733302571367834,1,7.8542,-0.06669999999999998,0,0.0
84,0,1,male,47.1,1,47.1,3.8732821771117156,2,35.25,11.850000000000001,0,0.0
85,1,2,female,10.5,1,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
86,1,3,female,15.85,2,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
87,0,3,male,34.375,4,8.59375,2.2611118447874707,3,7.8542,0.7395500000000004,0,0.0
88,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
89,1,1,female,263.0,4,65.75,4.200954297280359,3,35.25,30.5,1,4.200954297280359
90,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
91,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
92,0,3,male,7.8542,1,7.8542,2.180891922715322,1,7.8542,0.0,0,0.0
93,0,1,male,61.175,1,61.175,4.1299529896894684,3,35.25,25.924999999999997,1,4.1299529896894684
94,0,3,male,20.575,2,10.2875,2.4236959187431037,3,7.8542,2.4333,0,0.0
95,0,3,male,7.25,1,7.25,2.1102132003465894,0,7.8542,-0.6041999999999996,0,0.0
96,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
97,0,1,male,34.6542,1,34.6542,3.57386695198272,1,35.25,-0.595799999999997,1,3.57386695198272
98,1,1,male,63.3583,1,63.3583,4.164465907853638,3,35.25,28.1083,1,4.164465907853638
99,1,2,female,23.0,2,11.5,2.5257286443082556,1,13.0,-1.5,0,0.0
100,0,2,male,26.0,2,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
101,0,3,female,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
102,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
103,0,1,male,77.2875,2,38.64375,3.6799333064000703,2,35.25,3.393749999999997,1,3.6799333064000703
104,0,3,male,8.6542,1,8.6542,2.267393053825037,3,7.8542,0.7999999999999998,0,0.0
105,0,3,male,7.925,1,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
106,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
107,1,3,female,7.65,1,7.65,2.157559320943788,1,7.8542,-0.20419999999999927,0,0.0
108,1,3,male,7.775,1,7.775,2.1719067693519296,1,7.8542,-0.07919999999999927,0,0.0
109,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
110,1,3,female,24.15,3,8.049999999999999,2.2027647577118348,2,7.8542,0.1957999999999993,0,0.0
111,0,1,male,52.0,2,26.0,3.295836866004329,0,35.25,-9.25,1,3.295836866004329
112,0,3,female,14.4542,2,7.2271,2.107433583211985,0,7.8542,-0.6270999999999995,0,0.0
113,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
114,0,3,female,9.825,1,9.825,2.3818582738885534,3,7.8542,1.9707999999999997,0,0.0
115,0,3,female,14.4583,2,7.22915,2.107682728674724,0,7.8542,-0.6250499999999999,0,0.0
116,0,3,male,7.925,1,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
117,0,3,male,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
118,0,2,male,21.0,2,10.5,2.4423470353692043,0,13.0,-2.5,0,0.0
119,0,1,male,247.5208,2,123.7604,4.826395097890282,3,35.25,88.5104,1,4.826395097890282
120,0,3,female,31.275,7,4.4678571428571425,1.698886792488434,0,7.8542,-3.386342857142857,0,0.0
121,0,2,male,73.5,5,14.7,2.7536607123542622,3,13.0,1.6999999999999993,0,0.0
122,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
123,0,2,male,30.0708,2,15.0354,2.774798778265854,3,13.0,2.035399999999999,0,0.0
124,1,2,female,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,1,2.6390573296152584
125,0,1,male,77.2875,2,38.64375,3.6799333064000703,2,35.25,3.393749999999997,1,3.6799333064000703
126,1,3,male,11.2417,2,5.62085,1.8902237604980383,0,7.8542,-2.2333499999999997,0,0.0
127,0,3,male,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
128,1,3,male,7.1417,1,7.1417,2.0969990034181696,0,7.8542,-0.7124999999999995,0,0.0
129,1,3,female,22.3583,2,11.17915,2.4997254733112535,3,7.8542,3.3249500000000003,1,2.4997254733112535
130,0,3,male,6.975,1,6.975,2.076311648670908,0,7.8542,-0.8792,0,0.0
131,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
132,0,3,male,7.05,1,7.05,2.0856720914304723,0,7.8542,-0.8041999999999998,0,0.0
133,0,3,female,14.5,1,14.5,2.740840023925201,3,7.8542,6.6458,0,0.0
134,1,2,female,26.0,1,26.0,3.295836866004329,3,13.0,13.0,0,0.0
135,0,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
136,0,2,male,15.0458,1,15.0458,2.775447133088262,3,13.0,2.0458,0,0.0
137,1,1,female,26.2833,1,26.2833,3.3062747934011893,0,35.25,-8.9667,1,3.3062747934011893
138,0,1,male,53.1,2,26.55,3.3160025355989236,0,35.25,-8.7,1,3.3160025355989236
139,0,3,male,9.2167,2,4.60835,1.7242565586264682,0,7.8542,-3.24585,0,0.0
140,0,1,male,79.2,2,39.6,3.703768066607687,2,35.25,4.350000000000001,1,3.703768066607687
141,0,3,female,15.2458,2,7.6229,2.15442145501091,1,7.8542,-0.23130000000000006,0,0.0
142,1,3,female,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
143,1,3,female,15.85,2,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
144,0,3,male,6.75,1,6.75,2.0476928433652555,0,7.8542,-1.1041999999999996,0,0.0
145,0,2,male,11.5,1,11.5,2.5257286443082556,1,13.0,-1.5,0,0.0
146,0,2,male,36.75,2,18.375,2.9639835752394106,3,13.0,5.375,0,0.0
147,1,3,male,7.7958,1,7.7958,2.174274334826008,1,7.8542,-0.058399999999999785,0,0.0
148,0,3,female,34.375,4,8.59375,2.2611118447874707,3,7.8542,0.7395500000000004,0,0.0
149,0,2,male,26.0,3,8.666666666666666,2.268683541318364,0,13.0,-4.333333333333334,1,2.268683541318364
150,0,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
151,0,2,male,12.525,1,12.525,2.6045398247325453,1,13.0,-0.47499999999999964,0,0.0
152,1,1,female,66.6,2,33.3,3.535145354171894,1,35.25,-1.9500000000000028,1,3.535145354171894
153,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
154,0,3,male,14.5,1,14.5,2.740840023925201,3,7.8542,6.6458,0,0.0
155,0,3,male,7.3125,1,7.3125,2.1177604059819726,1,7.8542,-0.5416999999999996,0,0.0
156,0,1,male,61.3792,1,61.3792,4.133231886474144,3,35.25,26.129199999999997,0,0.0
157,1,3,female,7.7333,1,7.7333,2.167143305297764,1,7.8542,-0.12089999999999979,0,0.0
158,0,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
159,0,3,male,8.6625,1,8.6625,2.2682524139135403,3,7.8542,0.8083,0,0.0
160,0,3,male,69.55,7,9.935714285714285,2.3920339730483793,3,7.8542,2.0815142857142854,0,0.0
161,0,3,male,16.1,1,16.1,2.8390784635086144,3,7.8542,8.245800000000003,0,0.0
162,1,2,female,15.75,1,15.75,2.8183982582710754,3,13.0,2.75,0,0.0
163,0,3,male,7.775,1,7.775,2.1719067693519296,1,7.8542,-0.07919999999999927,0,0.0
164,0,3,male,8.6625,1,8.6625,2.2682524139135403,3,7.8542,0.8083,0,0.0
165,0,3,male,39.6875,6,6.614583333333333,2.0300652682819424,0,7.8542,-1.2396166666666666,0,0.0
166,1,3,male,20.525,3,6.841666666666666,2.0594513968033334,0,7.8542,-1.0125333333333337,0,0.0
167,1,1,female,55.0,2,27.5,3.349904087274605,1,35.25,-7.75,1,3.349904087274605
168,0,3,female,27.9,6,4.6499999999999995,1.7316555451583495,0,7.8542,-3.2042,0,0.0
169,0,1,male,25.925,1,25.925,3.2930552230424524,0,35.25,-9.325,0,0.0
170,0,3,male,56.4958,7,8.070828571428573,2.2050636129235883,3,7.8542,0.21662857142857295,0,0.0
171,0,1,male,33.5,1,33.5,3.5409593240373143,1,35.25,-1.75,1,3.5409593240373143
172,0,3,male,29.125,5,5.825,1.9205923410710235,0,7.8542,-2.0291999999999994,0,0.0
173,1,3,female,11.1333,3,3.7111,1.5499214264083454,0,7.8542,-4.1431,0,0.0
174,0,3,male,7.925,1,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
175,0,1,male,30.6958,1,30.6958,3.4561841799918147,1,35.25,-4.554200000000002,1,3.4561841799918147
176,0,3,male,7.8542,1,7.8542,2.180891922715322,1,7.8542,0.0,0,0.0
177,0,3,male,25.4667,4,6.366675,1.9969664510766771,0,7.8542,-1.4875249999999998,0,0.0
178,0,1,female,28.7125,1,28.7125,3.391567832686312,1,35.25,-6.537500000000001,1,3.391567832686312
179,0,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
180,0,3,male,0.0,4,0.0,0.0,0,7.8542,-7.8542,0,0.0
181,0,3,female,69.55,7,9.935714285714285,2.3920339730483793,3,7.8542,2.0815142857142854,0,0.0
182,0,2,male,15.05,1,15.05,2.775708849576025,3,13.0,2.0500000000000007,0,0.0
183,0,3,male,31.3875,4,7.846875,2.1800642893181275,1,7.8542,-0.007324999999999804,0,0.0
184,1,2,male,39.0,2,19.5,3.0204248861443626,3,13.0,6.5,1,3.0204248861443626
185,1,3,female,22.025,1,22.025,3.1365805821413706,3,7.8542,14.1708,0,0.0
186,0,1,male,50.0,1,50.0,3.9318256327243257,2,35.25,14.75,1,3.9318256327243257
187,1,3,female,15.5,2,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
188,1,1,male,26.55,1,26.55,3.3160025355989236,0,35.25,-8.7,0,0.0
189,0,3,male,15.5,2,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
190,0,3,male,7.8958,1,7.8958,2.1855792552411137,2,7.8542,0.04160000000000075,0,0.0
191,1,2,female,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
192,0,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
193,1,3,female,7.8542,1,7.8542,2.180891922715322,1,7.8542,0.0,0,0.0
194,1,2,male,26.0,3,8.666666666666666,2.268683541318364,0,13.0,-4.333333333333334,1,2.268683541318364
195,1,1,female,27.7208,1,27.7208,3.357621598945279,1,35.25,-7.5291999999999994,1,3.357621598945279
196,1,1,female,146.5208,2,73.2604,4.307577835214363,3,35.25,38.010400000000004,1,4.307577835214363
197,0,3,male,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
198,0,3,male,8.4042,1,8.4042,2.2411563979973974,3,7.8542,0.5499999999999998,0,0.0
199,1,3,female,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
200,0,2,female,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
201,0,3,male,9.5,1,9.5,2.3513752571634776,3,7.8542,1.6458000000000004,0,0.0
202,0,3,male,69.55,7,9.935714285714285,2.3920339730483793,3,7.8542,2.0815142857142854,0,0.0
203,0,3,male,6.4958,1,6.4958,2.0143428636837015,0,7.8542,-1.3583999999999996,0,0.0
204,0,3,male,7.225,1,7.225,2.1071782966514356,0,7.8542,-0.6292,0,0.0
205,1,3,male,8.05,1,8.05,2.2027647577118348,2,7.8542,0.19580000000000108,0,0.0
206,0,3,female,10.4625,2,5.23125,1.8295769547280114,0,7.8542,-2.6229499999999994,1,1.8295769547280114
207,0,3,male,15.85,2,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
208,1,3,male,18.7875,2,9.39375,2.341204663959101,3,7.8542,1.539550000000001,0,0.0
209,1,3,female,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
210,1,1,male,31.0,1,31.0,3.4657359027997265,1,35.25,-4.25,1,3.4657359027997265
211,0,3,male,7.05,1,7.05,2.0856720914304723,0,7.8542,-0.8041999999999998,0,0.0
212,1,2,female,21.0,1,21.0,3.091042453358316,3,13.0,8.0,0,0.0
213,0,3,male,7.25,1,7.25,2.1102132003465894,0,7.8542,-0.6041999999999996,0,0.0
214,0,2,male,13.0,1,13.0,2.6390573296152584,1,13.0,0.0,0,0.0
215,0,3,male,7.75,1,7.75,2.169053700369523,1,7.8542,-0.10419999999999963,0,0.0
216,1,1,female,113.275,3,37.75833333333333,3.657345786442051,2,35.25,2.508333333333333,1,3.657345786442051
217,1,3,female,7.925,1,7.925,2.188856327665703,2,7.8542,0.0708000000000002,0,0.0
218,0,2,male,27.0,2,13.5,2.6741486494265287,2,13.0,0.5,0,0.0
219,1,1,female,76.2917,1,76.2917,4.347586575960343,3,35.25,41.041700000000006,1,4.347586575960343
